keyword,Title,Reviews,Review_points,Address,Country,City,State,Website,Phone,Page_URL,Google_id,Place_id,Latitude,Longitude,Category,Main_image,Image_1,Description,Price_Range,Open_Time_Monday,Open_Time_Tuesday,Open_Time_Wednesday,Open_Time_Thursday,Open_Time_Friday,Open_Time_Saturday,Open_Time_Sunday
"restaurant in gainesville, florida",Mi Apá Latin Café of Gainesville,3541,4.5,"114 SW 34th St, Gainesville, FL 32607, United States",United States,Gainesville,Florida,https://www.miapalatincafe.com/,+1 352-376-7020,https://www.google.com/maps/place/Mi+Apá+Latin+Café+of+Gainesville/data=!4m5!3m4!1s0x88e8a35b57727573:0x14861989cad21fac!8m2!3d29.6508212!4d-82.3729036?authuser=0&hl=en&rclk=1,0x88e8a35b57727573:0x14861989cad21fac,ChIJc3VyV1uj6IgRrB_SyokZhhQ,29.6508212,-82.3729036,restaurants,https://lh5.googleusercontent.com/p/AF1QipOD9hk4imbUoF58AknsqoWmId2C8CZCzrkjHZzS=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipMdljaOliJh6Yek4n0AovEjuMx2XI3vkgfea-f_=w1024-h960-p-k-no,Low-key Latin spot with a patio serving Cuban sandwiches & classic dishes in modern digs.,$,Monday 7 AM–10 PM 2023-05-01,Tuesday 7 AM–10 PM 2023-05-02,Wednesday 7 AM–10 PM 2023-04-26,Thursday 7 AM–10 PM 2023-04-27,Friday 7 AM–11 PM 2023-04-28,Saturday 7 AM–11 PM 2023-04-29,Sunday 7 AM–10 PM 2023-04-30
"restaurant in gainesville, florida",Sensei Asian Bistro,194,4.5,"4860 Steve Spurrier Way Ste 10, Gainesville, FL 32608, United States",United States,Gainesville,Florida,http://www.insensei.com/,+1 352-214-1239,https://www.google.com/maps/place/Sensei+Asian+Bistro/data=!4m5!3m4!1s0x88e8a3f7648bbc3f:0xb7d6423a9d9845a7!8m2!3d29.6243283!4d-82.3950941?authuser=0&hl=en&rclk=1,0x88e8a3f7648bbc3f:0xb7d6423a9d9845a7,ChIJP7yLZPej6IgRp0WYnTpC1rc,29.6243283,-82.3950941,Asian fusion restaurant,https://lh5.googleusercontent.com/p/AF1QipNaxnb8o1vavKbSycfpvrDNC1dGLv2riWYS9b7r=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipNh88Ol0ONN86WW1pf8HZTZeEjnMy78BM2lP04r=w1024-h960-p-k-no,null,None,Monday 4–9 PM 2023-05-01,Tuesday 4–9 PM 2023-05-02,Wednesday Closed 2023-04-26,Thursday 12–9 PM 2023-04-27,Friday 12–10 PM 2023-04-28,Saturday 12–10 PM 2023-04-29,Sunday 12–9 PM 2023-04-30
"restaurant in gainesville, florida",Alpin Bistro,467,4.6,"15 SW 2nd St, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://www.alpinbistro.com/,+1 352-204-2873,https://www.google.com/maps/place/Alpin+Bistro/data=!4m5!3m4!1s0x88e8a38c5757c515:0x435b58ce894a6d7e!8m2!3d29.6514785!4d-82.3265083?authuser=0&hl=en&rclk=1,0x88e8a38c5757c515:0x435b58ce894a6d7e,ChIJFcVXV4yj6IgRfm1Kic5YW0M,29.6514785,-82.3265083,restaurants,https://lh5.googleusercontent.com/p/AF1QipOTnuDLACpi6UIneQRWBOE51IwM21QROUkNHKuk=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipNBsuNtn_uLOCUdrOjyRCFYcPigQ9axdy7nqcf9=w1024-h960-p-k-no,This buzzy French bistro with hip decor & a patio serves seasonal plates with imported beer & wine.,$$,Monday Closed 2023-05-01,Tuesday 5–10 PM 2023-05-02,Wednesday 5–10 PM 2023-04-26,Thursday 5–10 PM 2023-04-27,Friday 5–11 PM 2023-04-28,Saturday 11 AM–2:30 PM 2023-04-29,Sunday Closed 2023-04-30
"restaurant in gainesville, florida",Blue Gill Quality Food,582,4.4,"1310 SW 13th St, Gainesville, FL 32608, United States",United States,Gainesville,Florida,http://www.bluegillqualityfoods.com/,+1 352-872-5181,https://www.google.com/maps/place/Blue+Gill+Quality+Food/data=!4m5!3m4!1s0x88e8a398b4fc197b:0xdbf988ce252cf8a1!8m2!3d29.6381385!4d-82.3395122?authuser=0&hl=en&rclk=1,0x88e8a398b4fc197b:0xdbf988ce252cf8a1,ChIJexn8tJij6IgRofgsJc6I-ds,29.6381385,-82.3395122,Southern restaurant (US),https://lh5.googleusercontent.com/p/AF1QipMvVrlfRMG66x8wPhUfrpjaV6w6MXs7CWDaqnJs=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipPDVAoS7kztzEoLmOgv37m7s_uOuuSIvzHUhmfK=w1024-h960-p-k-no,"Industrial-chic outpost serving seafood, Southern-style dishes & cocktails in an airy, bright space.",$$,Monday Closed 2023-05-01,Tuesday 11 AM–9 PM 2023-05-02,Wednesday 11 AM–9 PM 2023-04-26,Thursday 11 AM–9 PM 2023-04-27,Friday 11 AM–9 PM 2023-04-28,Saturday 12–9 PM 2023-04-29,Sunday Closed 2023-04-30
"restaurant in gainesville, florida",Loosey's Downtown Gainesville,1103,4.5,"120 SW 1st Ave, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://www.looseys.com/,+1 352-672-6465,https://www.google.com/maps/place/Loosey's+Downtown+Gainesville/data=!4m5!3m4!1s0x88e8a38c56912f31:0x877fd4536bbbabce!8m2!3d29.6511971!4d-82.3264523?authuser=0&hl=en&rclk=1,0x88e8a38c56912f31:0x877fd4536bbbabce,ChIJMS-RVoyj6IgRzqu7a1PUf4c,29.6511971,-82.3264523,bars,https://lh5.googleusercontent.com/p/AF1QipOcmlZqjk7YZtBJz0rWH6LLaUclE6mg16n5OcuU=w426-h240-k-no,https://lh5.googleusercontent.com/p/AF1QipN1DlMW-cqHOa113NoRfobrK7VARV_lTK6FZRUm=w1024-h960-p-k-no,null,$,Monday 11 AM–11 PM 2023-05-01,Tuesday Closed 2023-05-02,Wednesday 11 AM–11 PM 2023-04-26,Thursday 11 AM–11 PM 2023-04-27,Friday 11 AM–12 AM 2023-04-28,Saturday 11 AM–12 AM 2023-04-29,Sunday 11 AM–11 PM 2023-04-30
"restaurant in gainesville, florida",Tinker Latin Restaurant (Main st),992,4.6,"502 S Main St, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://tinkerfoodtruck.com/,+1 352-225-3563,https://www.google.com/maps/place/Tinker+Latin+Restaurant+(Main+st)/data=!4m5!3m4!1s0x88e8a34944e3eff7:0xe54eb02c7f66039a!8m2!3d29.6469258!4d-82.3251989?authuser=0&hl=en&rclk=1,0x88e8a34944e3eff7:0xe54eb02c7f66039a,ChIJ9-_jREmj6IgRmgNmfyywTuU,29.6469258,-82.3251989,restaurants,https://lh5.googleusercontent.com/p/AF1QipPxXzbxpXfsNK2ZcwiT-aOXe5KSySrOIRMYitJW=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipNZEozvizLngtjkaPjuJYDKz_4U3tPVun1S2DRr=w1024-h960-p-k-no,null,$$,Monday Closed 2023-05-01,Tuesday 12–10 PM 2023-05-02,Wednesday 12–10 PM 2023-04-26,Thursday 12–10 PM 2023-04-27,Friday 12–10 PM 2023-04-28,Saturday 10 AM–9:30 PM 2023-04-29,Sunday 10 AM–9 PM 2023-04-30
"restaurant in gainesville, florida",Yummy House Gainesville,1350,4.2,"3102 SW 34th St, Gainesville, FL 32608, United States",United States,Gainesville,Florida,https://yummyhouseflorida.com/gainesville-menu/,+1 352-333-7688,https://www.google.com/maps/place/Yummy+House+Gainesville/data=!4m5!3m4!1s0x88e8bc837e366335:0xe07f3c906550338a!8m2!3d29.6249098!4d-82.3728936?authuser=0&hl=en&rclk=1,0x88e8bc837e366335:0xe07f3c906550338a,ChIJNWM2foO86IgRijNQZZA8f-A,29.6249098,-82.3728936,restaurants,https://lh5.googleusercontent.com/p/AF1QipNHUZ6wJAS1V51h3BGcXJ7F5KH4BMLdEnQ4AZM=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipMkJZb0v4J0Nx3s612OQ0h-qTIUPvxTLIzCDPdE=w1024-h960-p-k-no,null,$$,Monday 11 AM–2:30 PM 2023-05-01,Tuesday 11 AM–2:30 PM 2023-05-02,Wednesday 11 AM–2:30 PM 2023-04-26,Thursday 11 AM–2:30 PM 2023-04-27,Friday 11 AM–2:30 PM 2023-04-28,Saturday 11 AM–2:30 PM 2023-04-29,Sunday 11 AM–2:30 PM 2023-04-30
"restaurant in gainesville, florida",Peruvian Cuisine Latin Food,154,4.3,"7249 NW 4th Blvd, Gainesville, FL 32607, United States",United States,Gainesville,Florida,http://www.latinfoodblessing.com/,+1 352-870-7501,https://www.google.com/maps/place/Peruvian+Cuisine+Latin+Food/data=!4m5!3m4!1s0x88e8bde12cd6d71b:0x46b1fd852ba63715!8m2!3d29.6551342!4d-82.4198288?authuser=0&hl=en&rclk=1,0x88e8bde12cd6d71b:0x46b1fd852ba63715,ChIJG9fWLOG96IgRFTemK4X9sUY,29.6551342,-82.4198288,restaurants,https://lh5.googleusercontent.com/p/AF1QipNeqFn4Z1fqoA4DEc8VMtH3LtpTucN80EAW1aAj=w408-h307-k-no,https://lh5.googleusercontent.com/p/AF1QipPkHLz1v5MHEraRQtGc7pR2XjT7YiN9MQ6ZJn1q=w1024-h960-p-k-no,null,$$,Monday Closed 2023-05-01,Tuesday 10:30 AM–8 PM 2023-05-02,Wednesday 10:30 AM–8 PM 2023-04-26,Thursday 10:30 AM–8 PM 2023-04-27,Friday 10:30 AM–9 PM 2023-04-28,Saturday 10:30 AM–9 PM 2023-04-29,Sunday 11 AM–3 PM 2023-04-30
"restaurant in gainesville, florida",Cry Baby’s,299,4.4,"1 W University Ave, Gainesville, FL 32601, United States",United States,Gainesville,Florida,https://www.toasttab.com/crybabys,+1 352-505-5026,https://www.google.com/maps/place/Cry+Baby’s/data=!4m5!3m4!1s0x88e8a3b2117c6a0b:0xbdf03edff2314529!8m2!3d29.6518155!4d-82.3251876?authuser=0&hl=en&rclk=1,0x88e8a3b2117c6a0b:0xbdf03edff2314529,ChIJC2p8EbKj6IgRKUUx8t8-8L0,29.6518155,-82.3251876,restaurants,https://lh5.googleusercontent.com/p/AF1QipOeLaiLOhgXtnDlxHVEh80Zxap5iIrfbjsqv0w3=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipOGHpI9ZKHbJIXwIXau61hfKzhty3dey9JmZIZB=w1024-h960-p-k-no,"Relaxed restaurant & bar specializing in generous burgers with fries, plus fried chicken.",$$,Monday 5 PM–12 AM 2023-05-01,Tuesday 5 PM–12 AM 2023-05-02,Wednesday 5 PM–12 AM 2023-04-26,Thursday 5 PM–12 AM 2023-04-27,Friday 5 PM–2 AM 2023-04-28,Saturday 5 PM–2 AM 2023-04-29,Sunday Closed 2023-04-30
"restaurant in gainesville, florida",Gators Dockside Gainesville,2349,4.5,"3842 Newberry Rd #1a, Gainesville, FL 32607, United States",United States,Gainesville,Florida,http://www.gatorsdockside.com/,+1 352-338-4445,https://www.google.com/maps/place/Gators+Dockside+Gainesville/data=!4m5!3m4!1s0x88e8a3519432068f:0x4d17f29f7234ecdd!8m2!3d29.6537972!4d-82.3816582?authuser=0&hl=en&rclk=1,0x88e8a3519432068f:0x4d17f29f7234ecdd,ChIJjwYylFGj6IgR3ew0cp_yF00,29.6537972,-82.3816582,restaurants,https://lh5.googleusercontent.com/p/AF1QipO-VszNPfOGFbJacpuMMPRs-mzINyfBEfk3E6uJ=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipMGapOz0FRC4ys-CKMu3YfMmXx-qP1sD5tv5JtW=w1024-h960-p-k-no,"Family-friendly sports-bar chain offering American fare, including signature grilled chicken wings.",$$,Monday 11 AM–12 AM 2023-05-01,Tuesday 11 AM–12 AM 2023-05-02,Wednesday 11 AM–12 AM 2023-04-26,Thursday 11 AM–12 AM 2023-04-27,Friday 11 AM–12 AM 2023-04-28,Saturday 11 AM–12 AM 2023-04-29,Sunday 11 AM–12 AM 2023-04-30
"tourist attraction in gainesville, florida",Florida Museum of Natural History-Exhibits,2797,4.8,"3215 Hull Rd, Gainesville, FL 32611, United States",United States,Gainesville,Florida,https://www.floridamuseum.ufl.edu/,+1 352-846-2000,https://www.google.com/maps/place/Florida+Museum+of+Natural+History-Exhibits/data=!4m5!3m4!1s0x88e8a33f1cbc36db:0xa01649ae968668d7!8m2!3d29.6359326!4d-82.3698148?authuser=0&hl=en&rclk=1,0x88e8a33f1cbc36db:0xa01649ae968668d7,ChIJ2za8HD-j6IgR12iGlq5JFqA,29.6359326,-82.3698148,museums,https://lh5.googleusercontent.com/p/AF1QipPehBP-SeAoMvYkEpmcRUNdsNIr8hkUGzJemBHF=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipOeO7LdQx27cA3Bj8xFUzioQbVoCaMmO7U4DYOx=w1024-h960-p-k-no,Museum exploring the natural & human heritage of Florida with indoor & outdoor exhibits.,None,Monday 10 AM–5 PM 2023-05-01,Tuesday 10 AM–5 PM 2023-05-02,Wednesday 10 AM–5 PM 2023-04-26,Thursday 10 AM–5 PM 2023-04-27,Friday 10 AM–5 PM 2023-04-28,Saturday 10 AM–5 PM 2023-04-29,Sunday 1–5 PM 2023-04-30
"tourist attraction in gainesville, florida",Sweetwater Wetlands Park,1404,4.8,"325 SW Williston Rd, Gainesville, FL 32601, United States",United States,Gainesville,Florida,http://www.sweetwaterwetlands.org/,+1 352-554-5871,https://www.google.com/maps/place/Sweetwater+Wetlands+Park/data=!4m5!3m4!1s0x88e8a3cc6b27e193:0xc4665605fc8c8b77!8m2!3d29.619721!4d-82.3296674?authuser=0&hl=en&rclk=1,0x88e8a3cc6b27e193:0xc4665605fc8c8b77,ChIJk-Ena8yj6IgRd4uM_AVWZsQ,29.619721,-82.3296674,attractions,https://lh5.googleusercontent.com/p/AF1QipNS0q2PQTbsqf-QJqqaA4MhU7goMPL07miwBpXh=w408-h544-k-no,https://lh5.googleusercontent.com/p/AF1QipNpbBQjY7rSbAN-dYQ_8DhrXK9TpFhqBZMyE1_K=w1024-h960-p-k-no,"Manmade wetlands habitat with birds, crocodiles, boardwalk nature trails & ranger-led tours.",None,,,,,,,
"tourist attraction in gainesville, florida",Devil's Millhopper Geological State Park,1592,4.4,"4732 Millhopper Rd, Gainesville, FL 32653, United States",United States,Gainesville,Florida,https://www.floridastateparks.org/park/Devils-Millhopper,+1 352-955-2008,https://www.google.com/maps/place/Devil's+Millhopper+Geological+State+Park/data=!4m5!3m4!1s0x88e8bbb31951f85f:0xe01759ba2bf449fc!8m2!3d29.7043425!4d-82.3937602?authuser=0&hl=en&rclk=1,0x88e8bbb31951f85f:0xe01759ba2bf449fc,ChIJX_hRGbO76IgR_En0K7pZF-A,29.7043425,-82.3937602,attractions,https://lh5.googleusercontent.com/p/AF1QipObTHAeCjX32Weec97SrzFOqlYG1ceBiCShcPsQ=w408-h306-k-no,https://lh5.googleusercontent.com/p/AF1QipMwO8K0Y3xMSn8z3WViNtO_mwfOUmDDrRXWhpes=w1024-h960-p-k-no,"Lush park where visitors can hike to view small waterfalls, thick foliage & a 120-ft. cavity.",None,,,,,,,
